# Recipe Format - Auto-generated from G-code
# X,Z,F,CMD
# CMD: 0=G0(Rapid), 1=G1(Linear), 10=ToolChange, 99=End
#
X,Z,F,CMD
# --- Guvenli Z ---
0.000,-150.000,0,0
# --- Guvenli X ---
300.000,-150.000,0,0
# --- Tool Change ---
175.424,67.692,300,1
174.947,68.671,300,1
174.468,69.669,300,1
173.989,70.686,300,1
173.509,71.721,300,1
173.029,72.772,300,1
172.550,73.839,300,1
172.073,74.920,300,1
171.598,76.015,300,1
171.127,77.123,300,1
170.659,78.242,300,1
170.195,79.373,300,1
169.737,80.513,300,1
169.284,81.662,300,1
168.838,82.820,300,1
168.399,83.984,300,1
167.968,85.154,300,1
167.545,86.330,300,1
167.132,87.509,300,1
166.728,88.692,300,1
166.335,89.877,300,1
165.954,91.064,300,1
165.584,92.250,300,1
165.227,93.437,300,1
164.884,94.621,300,1
164.554,95.803,300,1
164.239,96.982,300,1
163.940,98.156,300,1
163.656,99.325,300,1
163.390,100.487,300,1
163.141,101.643,300,1
162.910,102.790,300,1
162.698,103.927,300,1
162.505,105.055,300,1
162.333,106.172,300,1
162.181,107.276,300,1
162.052,108.368,300,1
161.944,109.445,300,1
161.859,110.508,300,1
161.798,111.555,300,1
161.762,112.584,300,1
161.750,113.597,300,1
161.764,114.590,300,1
161.805,115.564,300,1
161.872,116.517,300,1
161.967,117.448,300,1
162.091,118.357,300,1
162.244,119.243,300,1
162.427,120.104,300,1
162.640,120.940,300,1
162.885,121.749,300,1
163.161,122.531,300,1
163.470,123.285,300,1
163.812,124.009,300,1
164.188,124.703,300,1
164.599,125.367,300,1
165.045,125.998,300,1
165.527,126.596,300,1
166.046,127.160,300,1
166.602,127.689,300,1
167.196,128.182,300,1
167.829,128.639,300,1
168.499,129.059,300,1
169.205,129.445,300,1
169.946,129.796,300,1
170.719,130.114,300,1
171.525,130.399,300,1
172.360,130.653,300,1
173.225,130.875,300,1
174.118,131.068,300,1
175.036,131.231,300,1
175.979,131.366,300,1
176.946,131.474,300,1
177.934,131.555,300,1
178.944,131.610,300,1
179.972,131.640,300,1
181.018,131.646,300,1
182.080,131.629,300,1
183.158,131.590,300,1
184.249,131.529,300,1
185.352,131.447,300,1
186.466,131.346,300,1
187.589,131.225,300,1
188.720,131.087,300,1
189.858,130.931,300,1
191.001,130.759,300,1
192.147,130.571,300,1
193.296,130.368,300,1
194.446,130.152,300,1
195.596,129.923,300,1
196.744,129.681,300,1
197.888,129.429,300,1
199.028,129.165,300,1
200.162,128.893,300,1
201.289,128.611,300,1
202.406,128.322,300,1
203.514,128.025,300,1
204.610,127.723,300,1
205.692,127.415,300,1
206.761,127.102,300,1
207.813,126.786,300,1
208.848,126.467,300,1
209.865,126.146,300,1
210.862,125.824,300,1
211.837,125.502,300,1
# --- Retract ---
261.837,75.502,0,0
176.837,88.517,0,0
176.370,89.432,300,1
175.898,90.369,300,1
175.424,91.328,300,1
174.947,92.307,300,1
174.468,93.306,300,1
173.989,94.323,300,1
173.509,95.357,300,1
173.029,96.408,300,1
172.550,97.475,300,1
172.073,98.556,300,1
171.598,99.651,300,1
171.127,100.759,300,1
170.659,101.879,300,1
170.195,103.009,300,1
169.737,104.150,300,1
169.284,105.299,300,1
168.838,106.456,300,1
168.399,107.620,300,1
167.968,108.791,300,1
167.545,109.966,300,1
167.132,111.146,300,1
166.728,112.329,300,1
166.335,113.514,300,1
165.954,114.700,300,1
165.584,115.887,300,1
165.227,117.073,300,1
164.884,118.258,300,1
164.554,119.440,300,1
164.239,120.618,300,1
163.940,121.792,300,1
163.656,122.961,300,1
163.390,124.124,300,1
163.141,125.279,300,1
162.910,126.426,300,1
162.698,127.564,300,1
